Day,Hour,Minute,CPU
5,17,3,71.13279104992064
5,17,2,83.9357398635227
5,17,1,82.85101218251731
5,17,0,74.88092186427379
5,16,59,64.49049371054434
5,16,58,74.35019813848479
5,16,57,74.42658499461936
5,16,56,70.30384000908201
5,16,55,62.58022442042248
5,16,54,62.60361391696921
5,16,53,60.801596387717694
5,16,52,70.42416088383388
5,16,51,65.67878565024341
5,16,50,63.781187868361926
5,16,49,74.96591350994801
5,16,48,66.92906613907641
5,16,47,71.2529527333872
5,16,46,65.71736195620743
5,16,45,65.54158133471563
5,16,44,70.49348458191947
5,16,43,67.19493641943633
5,16,42,68.0422999890231
5,16,41,73.11091578724681
5,16,40,75.65878761026609
5,16,39,61.56715700576546
5,16,38,74.75713393826744
5,16,37,61.09119570249256
5,16,36,68.63612532312791
5,16,35,70.93824472289775
5,16,34,65.39048514306533
5,16,33,67.21633829474072
5,16,32,73.0250384930479
5,16,31,60.60524308841048
5,16,30,66.99360916454111
5,16,29,66.22752562747989
5,16,28,68.45762751952184
5,16,27,66.90179078466286
5,16,26,73.78320611583467
5,16,25,74.22574865104247
5,16,24,67.58379238652996
5,16,23,71.97438678745806
5,16,22,62.12615212632784
5,16,21,75.14855838133317
5,16,20,60.0569093987956
5,16,19,65.22108360454637
5,16,18,73.80041022215762
5,16,17,65.34339974483649
5,16,16,75.97073893566187
5,16,15,60.637157129726624
5,16,14,60.765803149353964
5,16,13,73.15610855168794
5,16,12,74.81017635896798
5,16,11,62.33122017628171
5,16,10,74.09989093677372
5,16,9,69.88920747621088
5,16,8,73.3481770145265
5,16,7,73.63389760164037
5,16,6,69.4794197803625
5,16,5,74.66269580006947
5,16,4,67.54985125824498
5,16,3,60.03473952507293
5,16,2,61.32791975779774
5,16,1,71.78756269903765
5,16,0,65.54319958596423
5,15,59,66.42604993709092
5,15,58,65.71288216830722
5,15,57,60.249031749356774
5,15,56,71.5258388429129
5,15,55,60.568076301482996
5,15,54,69.22580437968085
5,15,53,74.55122518433387
5,15,52,72.62947007978207
5,15,51,62.42617586488401
5,15,50,64.41048005044338
5,15,49,60.62514149425143
5,15,48,69.22543491934883
5,15,47,64.42064853559835
5,15,46,70.13267417116695
5,15,45,62.27445790922744
5,15,44,60.289363449875836
5,15,43,61.58149851140073
5,15,42,60.85152299368845
5,15,41,67.49647646620365
5,15,40,72.38575288326098
5,15,39,71.22009253676167
5,15,38,63.36605160824217
5,15,37,63.62124166775547
5,15,36,70.17858344166548
5,15,35,73.26346607708686
5,15,34,64.68038615489179
5,15,33,64.37548999726276
5,15,32,67.08589970588544
5,15,31,62.96081292596852
5,15,30,69.19630805649092
5,15,29,73.73268173952178
5,15,28,67.19654991116079
5,15,27,61.97587273812536
5,15,26,65.53642968370686
5,15,25,65.77125956202276
5,15,24,63.40185426600267
5,15,23,69.4197624974718
5,15,22,73.81043251993236
5,15,21,72.84344852751212
5,15,20,66.72587651698097
5,15,19,73.47035397936425
5,15,18,72.27620114738096
5,15,17,74.65717586592044
5,15,16,63.00718220231056
5,15,15,64.94713352507408
5,15,14,60.27824342310724
5,15,13,69.09313295141132
5,15,12,70.82539876393976
5,15,11,67.4944071209375
5,15,10,69.91320784680872
5,15,9,68.26113741078733
5,15,8,72.5799812964818
5,15,7,64.71356610809353
5,15,6,72.41313396327872
5,15,5,67.17624402374265
5,15,4,63.13650681338658
5,15,3,61.05741775217165
5,15,2,60.507556458333816
5,15,1,71.61044778748932
5,15,0,68.56190622139334
5,14,59,66.75864701047632
